C:\Simcenter\Testxpress\ProjectData,20.01.26,12:57:22,,,,,,,,,,,,,,,,
,M1: CHRA_x : FFT(C1) Frequency[Hz],M1: CHRA_x : FFT(C1) [g],,M2: CHRA_y : FFT(C2) Frequency[Hz],M2: CHRA_y : FFT(C2) [g],,M3: CHRA_z : FFT(C3) Frequency[Hz],M3: CHRA_z : FFT(C3) [g],,M4: EG_Block_x : FFT(C13) Frequency[Hz],M4: EG_Block_x : FFT(C13) [g],,M5: EG_Block_y : FFT(C14) Frequency[Hz],M5: EG_Block_y : FFT(C14) [g],,M6: EG_Block_z : FFT(C15) Frequency[Hz],M6: EG_Block_z : FFT(C15) [g],
Unit,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,131.25,0.8044946,0.6467386,131.25,0.0310204,0.3769356,131.25,1.5424733,-0.3395112,131.25,0.3130595,-0.0378983,131.25,0.4125812,0.2301183,131.25,-0.7190251,0.1468187
,132.8125,0.0579691,0.9632903,132.8125,0.13007,0.3412554,132.8125,1.0797232,1.1348883,132.8125,0.2266767,0.2207017,132.8125,0.0856561,0.4205832,132.8125,-0.5071871,-0.6655576
,134.375,0.6081871,0.6616359,134.375,-0.2336662,-0.2278999,134.375,-0.4964617,1.4823477,134.375,-0.0458019,0.3326041,134.375,0.3035547,0.248619,134.375,0.4682247,-0.848065
,135.9375,0.3271609,0.7955563,135.9375,0.2082354,0.1999492,135.9375,-1.5369523,-0.2635688,135.9375,0.3277699,-0.0039947,135.9375,0.1894672,0.3246313,135.9375,1.0007753,0.3734782
,137.5,0.6010362,0.6573488,137.5,0.2508374,0.1600919,137.5,0.0640425,-1.4996557,137.5,-0.0910199,-0.3124657,137.5,0.3723406,0.0595504,137.5,-0.2927378,1.1174996
,139.0625,0.4499586,-0.2416228,139.0625,0.3351489,0.065189,139.0625,1.5171982,0.0235528,139.0625,-0.2857609,0.1173447,139.0625,0.2289496,-0.1360275,139.0625,-1.1714627,-0.2948588
,140.625,-0.2738638,-0.3998016,140.625,-0.2946392,-0.0288188,140.625,-0.1509538,1.5316372,140.625,0.1028529,0.2899774,140.625,-0.231693,-0.1051088,140.625,0.4094645,-1.1933752
,142.1875,-0.4782556,0.0720707,142.1875,0.3517318,0.0505315,142.1875,1.2140701,0.918013,142.1875,0.3054506,0.0624587,142.1875,-0.2675561,-0.0457837,142.1875,-0.8071039,-1.0624825
,143.75,-0.1393506,-0.4502798,143.75,0.3025466,0.0816537,143.75,1.419861,-0.6087807,143.75,0.2073303,-0.23062,143.75,0.005404,-0.2703741,143.75,-1.3643966,0.1022379
,145.3125,-0.3981445,-0.2854784,145.3125,-0.3167306,-0.1066981,145.3125,0.19072,-1.5399305,145.3125,-0.0916628,-0.2833759,145.3125,-0.1641167,-0.220899,145.3125,-0.7177571,1.2004576
,146.875,-0.003437,-0.4546482,146.875,-0.0609729,0.3210145,146.875,-0.7681406,-1.2953227,146.875,-0.2471523,-0.1653968,146.875,0.0985537,-0.2365146,146.875,0.0591694,1.4496008
,148.4375,-0.4335127,-0.2217482,148.4375,0.1742717,0.3321422,148.4375,-1.3781966,-0.4774044,148.4375,-0.2871925,0.0275726,148.4375,-0.1945101,-0.183326,148.4375,0.911909,1.174481
